Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,System flow,,Sample flow,,Run Log,,
min,mAU,min,mS/cm,min,ml/min,min,ml/min,min,Logbook,
-37.825,0.03018935,-37.823,11.83247,-37.815,0,-37.813,0,0,"Method Run 02.08.2023 12:20:51 +02:00 Method: 20230602_virus_filter_pulses Result: /DefaultHome/Cubic/virus_filter_test_different_scales/20230208_260Microliters0.5MPulseson50mMNaNO3Transition_FDM/20230208_260Microliters0.5MPulseson50mMNaNO3Transition_FDM/20230208_260Microliters0.5MPulseson50mMNaNO3Transition_FDM 002 User Default at computer IAM-FM2P180 is in control",
-37.805,0.1948471,-37.803,11.83235,-37.715,0,-37.713,0,0,"Batch ID: 88194f18-5e4e-4e31-8779-6a9622e4b531",
-37.785,0.4332562,-37.783,11.83426,-37.615,1.000002,-37.613,0,0,"Base CV, Vc=1.780 {ml}, Any",
-37.765,0.4979494,-37.763,11.83604,-37.515,1.000002,-37.513,0,0,"The method flow is now calculated based on the system flow. (System)",
-37.745,0.4974394,-37.743,11.83552,-37.415,1.000002,-37.413,0,0,"Phase Method Settings (Issued) (Processing) (Completed)",
-37.725,0.5054787,-37.723,11.83434,-37.315,1.000002,-37.313,0,0,"Base SameAsMain",
-37.705,0.508451,-37.703,11.83374,-37.215,1.000002,-37.213,0,0,"Alarm pre column pressure Enabled 0.34 {MPa} 0.00 {MPa} (Issued) (Processing)",
-37.685,0.4912851,-37.683,11.83844,-37.115,1.000002,-37.113,0,0.006666667,"Alarm pre column pressure Enabled 0.34 {MPa} 0.00 {MPa} (Completed)",
-37.665,0.4556233,-37.663,11.83909,-37.015,1.000002,-37.013,0,0.006666667,"Alarm delta column pressure Enabled 0.30 {MPa} 0.00 {MPa} (Issued) (Processing)",
-37.645,0.4481311,-37.643,11.81239,-36.915,1.000002,-36.913,0,0.01333333,"Alarm delta column pressure Enabled 0.30 {MPa} 0.00 {MPa} (Completed)",
-37.625,0.5819025,-37.623,11.79825,-36.815,1.000002,-36.813,0,0.01333333,"Wavelength 280 {nm} Off {nm} Off {nm} (Issued) (Processing)",
-37.605,0.7754233,-37.603,11.79338,-36.715,1.000002,-36.713,0,0.01666667,"Wavelength 280 {nm} Off {nm} Off {nm} (Completed)",
-37.585,0.8010912,-37.583,11.78535,-36.615,1.000002,-36.613,0,0.01666667,"Noise reduction UV 2.5 {sec} (Issued) (Processing)",
-37.565,0.6717807,-37.563,11.77472,-36.515,1.000002,-36.513,0,0.02,"Noise reduction UV 2.5 {sec} (Completed)",
-37.545,0.5338472,-37.543,11.77941,-36.415,1.000002,-36.413,0,0.02,"Injection valve Manual load (Issued) (Processing)",
-37.525,0.4288011,-37.523,11.79472,-36.315,1.000002,-36.313,0,0.02333333,"Injection valve Manual load (Completed)",
-37.505,0.3679307,-37.503,11.81391,-36.215,1.000002,-36.213,0,0.02333333,"Column position 2 Down flow (Issued) (Processing)",
-37.485,0.305132,-37.483,11.83207,-36.115,1.000002,-36.113,0,0.03666667,"Column position 2 Down flow (Completed)",
-37.465,0.2488949,-37.463,11.8473,-36.015,1.000002,-36.013,0,0.03666667,"pH valve Off-line Off-line (Issued) (Processing)",
-37.445,0.2211788,-37.443,11.85974,-35.915,1.000002,-35.913,0,0.05166667,"pH valve Off-line Off-line (Completed)",
-37.425,0.196049,-37.423,11.86947,-35.815,1.000002,-35.813,0,0.05166667,"Inlet A A2 (Issued) (Processing)",
-37.405,0.1717796,-37.403,11.87709,-35.715,1.000002,-35.713,0,0.06333333,"Inlet A A2 (Completed)",
-37.385,0.1465513,-37.383,11.8828,-35.615,1.000002,-35.613,0,0.06333333,"Inlet B B6 (Issued) (Processing)",
-37.365,0.13255,-37.363,11.88681,-35.515,1.000002,-35.513,0,0.08333334,"Inlet B B6 (Completed)",
-37.345,0.1310965,-37.343,11.88919,-35.415,1.000002,-35.413,0,0.08333334,"Alarm inlet A air sensor Enabled (Issued) (Processing)",
-37.325,0.1560739,-37.323,11.8904,-35.315,1.000002,-35.313,0,0.08666667,"Alarm inlet A air sensor Enabled (Completed)",
-37.305,0.1498688,-37.303,11.89152,-35.215,1.000002,-35.213,0,0.08666667,"Alarm inlet B air sensor Enabled (Issued) (Processing)",
-37.285,0.1154964,-37.283,11.89242,-35.115,1.000002,-35.113,0,0.09,"Alarm inlet B air sensor Enabled (Completed)",
-37.265,0.1096449,-37.263,11.89313,-35.015,1.000002,-35.013,0,0.09,"System flow 1.000 {ml/min} Delta column pressure (Issued) (Processing)",
-37.245,0.1066748,-37.243,11.89318,-34.915,1.000002,-34.913,0,0.1,"System flow 1.000 {ml/min} Delta column pressure (Completed)",
-37.225,0.1087644,-37.223,11.89279,-34.815,1.000002,-34.813,0,0.1,"End Phase (Issued) (Processing) (Completed)",
-37.205,0.1059085,-37.203,11.89156,-34.715,1.000002,-34.713,0,0.1,"Phase Equilibration (Issued) (Processing) (Completed)",
-37.185,0.1002706,-37.183,11.89072,-34.615,1.000002,-34.613,0,0.1,"Base SameAsMain",
